,amount,close,count,high,id,low,open,vol,date
0,13579838.451964598,0.2982,2738,0.2991,1572555600,0.2956,0.2985,403322,2019-11-01 05:00:00
1,2236841.3634260106,0.2989,825,0.2993,1572559200,0.2979,0.2982,66796,2019-11-01 06:00:00
2,2415946.4781029397,0.2991,951,0.2993,1572562800,0.2983,0.299,72228,2019-11-01 07:00:00
3,5057662.098459541,0.2981,1201,0.2992,1572566400,0.2973,0.2991,150752,2019-11-01 08:00:00
4,7600065.339494382,0.2977,1228,0.299,1572570000,0.2974,0.2981,226688,2019-11-01 09:00:00
5,11592927.49267605,0.2987,2007,0.2987,1572573600,0.2965,0.2977,344978,2019-11-01 10:00:00
6,14848928.489367083,0.2965,2696,0.299,1572577200,0.2961,0.2987,441748,2019-11-01 11:00:00
7,6660433.883011321,0.2966,1795,0.297,1572580800,0.2958,0.2965,197384,2019-11-01 12:00:00
8,3388333.2036815556,0.2967,693,0.2977,1572584400,0.2966,0.2967,100642,2019-11-01 13:00:00
9,4712403.825921343,0.2971,803,0.2978,1572588000,0.2966,0.2967,140124,2019-11-01 14:00:00
10,5949740.371995064,0.2962,977,0.297,1572591600,0.2956,0.297,176288,2019-11-01 15:00:00
11,11949482.745823996,0.2966,1783,0.2979,1572595200,0.296,0.2962,354770,2019-11-01 16:00:00
12,9188230.146999203,0.2949,1761,0.2967,1572598800,0.2946,0.2965,271348,2019-11-01 17:00:00
13,7190467.382472346,0.2964,1292,0.2968,1572602400,0.2946,0.2949,212778,2019-11-01 18:00:00
14,9804479.120981477,0.296,1817,0.2972,1572606000,0.2954,0.2964,290524,2019-11-01 19:00:00
15,5256309.12083014,0.2962,1062,0.2968,1572609600,0.2951,0.2961,155436,2019-11-01 20:00:00
16,17483806.519741837,0.2939,2340,0.2964,1572613200,0.2926,0.2961,513916,2019-11-01 21:00:00
17,7324418.483853049,0.2945,1374,0.2949,1572616800,0.2928,0.2939,215210,2019-11-01 22:00:00
18,9796511.500793189,0.2915,1871,0.2951,1572620400,0.2913,0.2946,287838,2019-11-01 23:00:00
19,29984202.600184184,0.2933,4475,0.2943,1572624000,0.2884,0.2915,874112,2019-11-02 00:00:00
20,3845123.091915678,0.2934,1095,0.2941,1572627600,0.2926,0.2933,112770,2019-11-02 01:00:00
21,2622888.150938013,0.2937,887,0.2947,1572631200,0.2932,0.2935,77052,2019-11-02 02:00:00
22,1879685.8771691585,0.2941,800,0.2946,1572634800,0.2935,0.2938,55254,2019-11-02 03:00:00
23,4003019.3762895954,0.2955,1161,0.296,1572638400,0.2939,0.2942,118118,2019-11-02 04:00:00
24,4502420.75047183,0.2958,1070,0.2965,1572642000,0.295,0.2955,133094,2019-11-02 05:00:00
25,4197265.163117517,0.2957,1395,0.2968,1572645600,0.2955,0.2959,124250,2019-11-02 06:00:00
26,3309710.388656737,0.2963,1241,0.2965,1572649200,0.2955,0.2957,97942,2019-11-02 07:00:00
27,11324086.892578105,0.2987,2075,0.2999,1572652800,0.2963,0.2963,338002,2019-11-02 08:00:00
28,5815084.291345317,0.298,1030,0.2995,1572656400,0.2975,0.2987,173610,2019-11-02 09:00:00
29,6923905.93717221,0.2984,1208,0.2986,1572660000,0.2971,0.298,206196,2019-11-02 10:00:00
30,3985755.459248263,0.2984,810,0.2987,1572663600,0.298,0.2984,118934,2019-11-02 11:00:00
31,4185351.73477323,0.2975,698,0.2986,1572667200,0.2974,0.2984,124676,2019-11-02 12:00:00
32,6095483.699236822,0.297,755,0.2975,1572670800,0.2968,0.2975,181110,2019-11-02 13:00:00
33,5194662.37495859,0.2971,684,0.2974,1572674400,0.2962,0.297,154156,2019-11-02 14:00:00
34,3553392.529838526,0.2978,462,0.2981,1572678000,0.2969,0.2971,105770,2019-11-02 15:00:00
35,5415602.091193535,0.2967,880,0.2979,1572681600,0.2965,0.2978,160908,2019-11-02 16:00:00
36,3874252.865073646,0.2971,600,0.2981,1572685200,0.2967,0.2967,115208,2019-11-02 17:00:00
37,1845479.1068553862,0.2973,296,0.2975,1572688800,0.2971,0.2971,54868,2019-11-02 18:00:00
